timestamp,Message,data
2023-05-03T19:33:53,"{'mot': [33, 0, 0.714833, 0.171875, 0.609375, -0.296875, 1.000015, 0.156252, -0.187503, -76.563667, -21.916704, 38.281834], 'time': 1683167633.9144}",
2023-05-03T19:33:53,"{'mot': [32, 0, 0.655878, 0.265625, 0.578125, -0.40625, 0.968765, 0.156252, -0.218753, -76.563667, -20.098356, 38.281834], 'time': 1683167633.8988}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.8676}",
2023-05-03T19:33:53,"{'mot': [31, 0, 0.731377, 0.21875, 0.546875, -0.34375, 1.000015, 0.156252, -0.187503, -76.563667, -18.077969, 38.281834], 'time': 1683167633.8832}",
2023-05-03T19:33:53,"{'mot': [8, 0, 0.936458, -0.0625, 0.34375, 0.03125, 0.968765, 0.156252, -0.187503, -76.563667, -15.96799, 38.281834], 'time': 1683167633.5238}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.8363}",
2023-05-03T19:33:53,"{'mot': [29, 0, 0.943988, -0.015625, 0.328125, -0.03125, 0.968765, 0.156252, -0.187503, -76.563667, -18.064943, 38.281834], 'time': 1683167633.8519}",
2023-05-03T19:33:53,"{'mot': [28, 0, 0.975155, -0.0625, 0.203125, 0.0625, 1.000015, 0.156252, -0.218753, -76.563667, -15.818623, 38.281834], 'time': 1683167633.8363}",
2023-05-03T19:33:53,"{'mot': [27, 0, 0.98611, -0.0625, 0.140625, 0.0625, 1.000015, 0.156252, -0.218753, -76.563667, -17.576248, 38.281834], 'time': 1683167633.8207}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.8051}",
2023-05-03T19:33:53,"{'pow': [4.698, 13.916, 2.396, 0.876, 0.468, 1.411, 0.708, 0.834, 0.462, 0.158, 13.984, 23.639, 1.268, 1.173, 0.398, 5.579, 9.464, 1.293, 0.902, 0.29, 6.899, 18.934, 1.46, 1.015, 0.334], 'time': 1683167633.8051}",
2023-05-03T19:33:53,"{'mot': [26, 0, 0.994001, -0.03125, 0.09375, 0.046875, 1.000015, 0.156252, -0.218753, -76.563667, -15.275626, 38.281834], 'time': 1683167633.8051}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.7738}",
2023-05-03T19:33:53,"{'mot': [7, 0, 0.49534, 0.453125, 0.421875, -0.609375, 1.000015, 0.156252, -0.187503, -76.563667, -13.488674, 38.281834], 'time': 1683167633.5082}",
2023-05-03T19:33:53,"{'mot': [17, 0, 0.949275, -0.03125, 0.3125, -0.015625, 1.000015, 0.156252, -0.187503, -76.563667, -25.294313, 38.281834], 'time': 1683167633.6644}",
2023-05-03T19:33:53,"{'mot': [6, 0, 0.782967, 0.125, 0.5625, -0.234375, 1.000015, 0.156252, -0.218753, -76.563667, -14.987415, 38.281834], 'time': 1683167633.4926}",
2023-05-03T19:33:53,"{'mot': [53, 0, 0.715345, 0.375, 0.3125, -0.5, 1.000015, 0.156252, -0.187503, -76.563667, -20.304768, 38.281834], 'time': 1683167633.2269}",
