Message,timestamp,data
"{'mot': [10, 0, 0.461136, 0.453125, 0.4375, -0.625, 0.968765, 0.156252, -0.218753, -76.563667, -16.379436, 38.281834], 'time': 1683167633.5551}",2023-05-03 19:33:53.574739+00:00,500.4742563561665 499.86174221481247
"{'mot': [11, 0, 0.892131, -0.09375, 0.4375, 0.0625, 0.968765, 0.156252, -0.187503, -76.563667, -18.569677, 38.281834], 'time': 1683167633.5707}",2023-05-03 19:33:53.574863+00:00,500.4742563561665 499.86174221481247
"{'pow': [4.821, 11.563, 2.691, 0.927, 0.502, 2.0, 1.009, 0.72, 0.483, 0.168, 10.246, 13.817, 1.439, 1.041, 0.435, 4.045, 8.887, 1.149, 0.998, 0.306, 4.7, 15.205, 1.653, 1.071, 0.311], 'time': 1683167633.5551}",2023-05-03 19:33:53.575006+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.5551}",2023-05-03 19:33:53.575103+00:00,500.4742563561665 499.86174221481247
"{'mot': [12, 0, 0.635651, 0.296875, 0.5625, -0.4375, 1.000015, 0.156252, -0.187503, -76.563667, -20.540892, 38.281834], 'time': 1683167633.5863}",2023-05-03 19:33:53.614011+00:00,500.4742563561665 499.86174221481247
"{'mot': [13, 0, 0.72467, 0.15625, 0.609375, -0.28125, 0.968765, 0.156252, -0.187503, -76.563667, -18.486803, 38.281834], 'time': 1683167633.6019}",2023-05-03 19:33:53.614154+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.5863}",2023-05-03 19:33:53.614242+00:00,500.4742563561665 499.86174221481247
"{'mot': [14, 0, 0.561631, 0.4375, 0.375, -0.59375, 0.968765, 0.156252, -0.218753, -76.563667, -20.466307, 38.281834], 'time': 1683167633.6176}",2023-05-03 19:33:53.634475+00:00,500.4742563561665 499.86174221481247
"{'mot': [15, 0, 0.98994, -0.015625, 0.140625, 0.0, 0.968765, 0.156252, -0.187503, -76.563667, -22.24786, 38.281834], 'time': 1683167633.6332}",2023-05-03 19:33:53.634606+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.6176}",2023-05-03 19:33:53.634689+00:00,500.4742563561665 499.86174221481247
"{'mot': [16, 0, 0.975155, -0.0625, 0.203125, 0.0625, 1.000015, 0.156252, -0.187503, -76.563667, -23.851257, 38.281834], 'time': 1683167633.6488}",2023-05-03 19:33:53.673940+00:00,500.4742563561665 499.86174221481247
"{'mot': [17, 0, 0.949275, -0.03125, 0.3125, -0.015625, 1.000015, 0.156252, -0.187503, -76.563667, -25.294313, 38.281834], 'time': 1683167633.6644}",2023-05-03 19:33:53.674087+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.6488}",2023-05-03 19:33:53.674179+00:00,500.4742563561665 499.86174221481247
"{'mot': [18, 0, 0.82783, 0.1875, 0.4375, -0.296875, 1.000015, 0.156252, -0.187503, -76.563667, -26.593067, 38.281834], 'time': 1683167633.6801}",2023-05-03 19:33:53.714866+00:00,500.4742563561665 499.86174221481247
"{'mot': [19, 0, 0.699993, 0.28125, 0.515625, -0.40625, 0.968765, 0.156252, -0.187503, -76.563667, -23.93376, 38.281834], 'time': 1683167633.6957}",2023-05-03 19:33:53.715060+00:00,500.4742563561665 499.86174221481247
"{'mot': [20, 0, 0.753734, 0.078125, 0.625, -0.1875, 0.968765, 0.156252, -0.187503, -76.563667, -21.540384, 38.281834], 'time': 1683167633.7113}",2023-05-03 19:33:53.715271+00:00,500.4742563561665 499.86174221481247
"{'pow': [4.746, 12.786, 2.428, 0.836, 0.473, 1.558, 0.798, 0.754, 0.477, 0.162, 11.994, 18.267, 1.133, 1.015, 0.412, 4.514, 9.03, 1.04, 0.811, 0.282, 5.562, 17.134, 1.501, 0.977, 0.308], 'time': 1683167633.6801}",2023-05-03 19:33:53.715519+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.6801}",2023-05-03 19:33:53.715696+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.7113}",2023-05-03 19:33:53.715855+00:00,500.4742563561665 499.86174221481247
"{'mot': [21, 0, 0.921213, 0.21875, 0.15625, -0.28125, 1.000015, 0.156252, -0.187503, -76.563667, -19.386345, 38.281834], 'time': 1683167633.7269}",2023-05-03 19:33:53.754255+00:00,500.4742563561665 499.86174221481247
"{'mot': [22, 0, 0.847215, 0.28125, 0.25, -0.375, 1.000015, 0.156252, -0.187503, -76.563667, -17.44771, 38.281834], 'time': 1683167633.7426}",2023-05-03 19:33:53.754521+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.7426}",2023-05-03 19:33:53.754673+00:00,500.4742563561665 499.86174221481247
"{'mot': [23, 0, 0.782967, 0.125, 0.5625, -0.234375, 0.968765, 0.156252, -0.187503, -76.563667, -15.70294, 38.281834], 'time': 1683167633.7582}",2023-05-03 19:33:53.774540+00:00,500.4742563561665 499.86174221481247
"{'mot': [24, 0, 0.515862, 0.40625, 0.484375, -0.578125, 0.968765, 0.156252, -0.187503, -76.563667, -14.132646, 38.281834], 'time': 1683167633.7738}",2023-05-03 19:33:53.774712+00:00,500.4742563561665 499.86174221481247
